height_inches,height_cm,plays,birth_date,birthplace,player_id,full_name,best_rank,first_appearance,last_appearance,represented_country
,-,-,Dec 26 1986,,314404.0,Airi Hagimoto,1440.0,2006-12-04 00:00:00,2006-12-04,JPN
"5' 6""",1.68m,-,Jul 22 1985,"Kranj, Slovenia",310578.0,Ajda Brumen,848.0,2003-03-24 00:00:00,2003-03-24,SLO
"5' 11""",1.80m,Right-Handed,May 7 1993,"Zagreb, Croatia",315232.0,Ajla Tomljanovic,32.0,2008-11-03 00:00:00,2025-08-18,AUS
,,Right-Handed,Mar 8 2003,"Panvel, India",328099.0,Akanksha Nitture,1338.0,2023-08-21 00:00:00,2025-08-18,IND
,-,-,Aug 4 1988,,312509.0,Akari Inoue,441.0,2005-12-05 00:00:00,2016-10-10,JPN
,,Right-Handed,Jan 19 2007,"Fort Lauderdale, FL, USA",331856.0,Akasha Urhobo,289.0,2022-10-24 00:00:00,2025-08-18,USA
"6' 3""",1.9,Right-Handed,Jun 23 1984,"Tashkent, Uzbekistan",10362.0,Akgul Amanmuradova,50.0,2002-09-30 00:00:00,2022-10-24,UZB
,-,-,Sep 24 1991,,314233.0,Aki Yamasoto,325.0,2008-11-03 00:00:00,2017-04-10,JPN
,,,,,320337.0,Akiho Kakuya,1133.0,2019-09-16 00:00:00,2019-09-16,JPN
,-,Right-Handed,Mar 10 1978,,70397.0,Akiko Gunji,529.0,2000-12-04 00:00:00,2001-12-10,JPN
,-,-,,,311930.0,Akiko Kato,1149.0,2005-12-05 00:00:00,2006-12-18,JPN
,-,-,Oct 23 1977,,110430.0,Akiko Kinebuchi,428.0,2000-12-04 00:00:00,2004-10-18,JPN
"5' 5""",1.65,Right-Handed,Jan 12 1980,"Osaka, Japan",130541.0,Akiko Morigami,41.0,2000-12-04 00:00:00,2010-02-08,JPN
"5' 4""",1.62m,Right-Handed,Jan 29 1993,"Kyoto, Japan",316478.0,Akiko Omae,191.0,2008-11-03 00:00:00,2025-08-18,JPN
,-,Right-Handed,Jan 25 1984,"Kumamoto, Japan",310162.0,Akiko Yonemura,208.0,2001-12-10 00:00:00,2016-02-22,JPN
"5' 6""",1.68,-,Aug 29 1992,"Brooklyn, NY, USA",326302.0,Akilah James,767.0,2017-04-10 00:00:00,2021-03-29,USA
,-,Right-Handed,May 29 1989,,313212.0,Akshitha Basavaraju,1431.0,2006-12-04 00:00:00,2006-12-04,IND
"5' 9""",1.75m,Right-Handed,Nov 29 1996,"Vilnius, Lithuania",319122.0,Akvile Parazinskaite,491.0,2014-09-22 00:00:00,2022-10-31,LTU
,-,Right-Handed,Sep 15 1994,"Melbourne, Australia",320915.0,Alana Parnaby,434.0,2016-02-22 00:00:00,2025-08-18,AUS
,-,Right-Handed,Nov 9 1999,"Fort Washington, MD, USA",322631.0,Alana Smith,388.0,2018-03-19 00:00:00,2025-08-18,USA
,-,-,,,311533.0,Alana Van Dervort,597.0,2004-10-18 00:00:00,2006-12-18,USA
"5' 10""",1.78m,Right-Handed,May 11 2007,"Dallas, TX, USA",332838.0,Alanis Hamilton,1246.0,2023-08-21 00:00:00,2025-06-30,USA
,-,Right-Handed,Aug 18 1980,"Kingston, Jamaica",20427.0,Alanna Broderick,869.0,2004-10-18 00:00:00,2005-08-22,JAM
"5' 7""",1.71m,,Mar 06 1996,"Murcia, Spain",321391.0,Alba Carrillo Marin,519.0,2016-02-22 00:00:00,2022-05-02,ESP
,,,Jun 29 2002,,329275.0,Alba Rey Garcia,617.0,2019-11-25 00:00:00,2025-08-18,ESP
"5' 5""",1.65m,Right-Handed,Apr 5 1980,"San Secondo Parmense, Italy",20458.0,Alberta Brianti,55.0,2000-12-04 00:00:00,2018-03-19,ITA
,-,-,Oct 14 1982,,70505.0,Albertina Gandara,1201.0,2005-12-05 00:00:00,2005-12-05,ARG
,-,-,,,314720.0,Albina Khabibulina,498.0,2008-10-27 00:00:00,2019-09-16,UZB
5' 7'',1.71m,Right-Handed,May 2 1995,"Jakarta, Indonesia",318390.0,Aldila Sutjiadi,344.0,2018-03-19 00:00:00,2023-08-21,INA
,-,Right-Handed,Apr 18 1995,"Tampico, Mexico",319581.0,Alejandra Cisneros,890.0,2014-11-03 00:00:00,2014-11-03,MEX
,-,Right-Handed,Jun 1 1991,"Pachuca, Mexico",314207.0,Alejandra Granillo,561.0,2006-12-04 00:00:00,2011-02-21,MEX
,-,-,,,180405.0,Alejandra Rivero,473.0,2000-12-04 00:00:00,2003-08-04,MEX
,-,Right-Handed,,,316910.0,Alejandra Sala-Juste,880.0,2011-02-21 00:00:00,2011-12-19,ESP
"5' 6""",1.68m,Right-Handed,Apr 27 1982,"Saint-Louis, MO, USA",311248.0,Aleke Tsoubanos,431.0,2004-10-18 00:00:00,2006-12-18,USA
,-,-,Dec 10 1991,"Szeged, Hungary",316298.0,Aleksandra Filipovski,490.0,2008-11-03 00:00:00,2010-07-05,HUN
"5' 8""",1.73m,Right-Handed,Oct 11 1991,"Brussels, Belgium",314107.0,Aleksandra Grela,497.0,2006-12-04 00:00:00,2010-01-25,POL
,-,-,Nov 14 1996,,319693.0,Aleksandra Karamanoleva,831.0,2013-10-07 00:00:00,2014-01-20,BUL
,-,-,,,110546.0,Aleksandra Kostikova,769.0,2001-12-10 00:00:00,2003-08-04,RUS
"5' 4""",1.63m,Right-Handed,Mar 15 1993,Moscow Russia,316344.0,Aleksandra Krunic,39.0,2010-01-11 00:00:00,2025-08-18,SRB
,-,-,Jun 17 1999,"Ryazan, Russia",326294.0,Aleksandra Kulik,866.0,2018-03-19 00:00:00,2018-03-19,RUS
"5' 10""",1.77m,Left-Handed,Feb 15 2000,"Ryazan, Moscow",311709.0,Aleksandra Kulikova,526.0,2005-08-22 00:00:00,2006-12-11,RUS
,-,-,May 22 1987,,311059.0,Aleksandra Lukic,920.0,2005-08-22 00:00:00,2006-12-18,SLO
"5' 9""",1.75m,-,Feb 1 1989,"Minsk, Belarus",312241.0,Aleksandra Malyarchikova,616.0,2005-08-22 00:00:00,2008-02-18,BLR
,,,Apr 27 2001,"Krakow, Poland",325015.0,Aleksandra Pitak,791.0,2019-09-16 00:00:00,2021-03-29,GBR
,,Right-handed,Apr 22 1998,"Moscow, Russia",323791.0,Aleksandra Pospelova,538.0,2016-02-22 00:00:00,2023-08-21,RUS
,,,Jan 1 1991,"Skopje, North Macedonia",316342.0,Aleksandra Shul,483.0,2009-05-18 00:00:00,2010-07-12,MKD
,-,-,Nov 18 1982,,190748.0,Aleksandra Srndovic,323.0,2000-12-04 00:00:00,2008-11-03,SWE
,-,-,Jul 25 1997,"Saint-Petersburg, Russia",321710.0,Aleksandra Vostrikova,1030.0,2016-02-22 00:00:00,2018-03-19,RUS
,-,-,,,220217.0,Aleksandra Vucenovic,533.0,2000-12-04 00:00:00,2002-06-03,YUG
"5' 9""",1.75m,Right-Handed,Sep 7 1987,"Montréal, Canada",310494.0,Aleksandra Wozniak,21.0,2002-09-30 00:00:00,2018-09-24,CAN
,-,-,Nov 5 2001,"Warsaw, Poland",329579.0,Aleksandra Zuchanska,1197.0,2023-08-21 00:00:00,2025-08-18,POL
"5' 7""",1.70m,Right-Handed,Feb 29 2992,"Plovdiv, Bulgaria",314672.0,Aleksandrina Naydenova,218.0,2008-11-03 00:00:00,2020-09-07,BUL
,-,-,,,312816.0,Alena Bayarchyk,1118.0,2005-12-05 00:00:00,2006-12-04,BLR
,-,Right-Handed,Jul 5 1989,"Sebastopol, Russia",314183.0,Alena Fomina-Klotz,526.0,2013-06-17 00:00:00,2021-03-08,GER
,-,-,Jan 5 1979,"Zvolen, Slovakia",160334.0,Alena Paulenkova,413.0,2000-12-04 00:00:00,2002-07-08,SVK
,-,-,Dec 7 1994,"Moscow, Russia",318422.0,Alena Tarasova,309.0,2011-12-19 00:00:00,2018-03-19,RUS
5' 9'',1.75m,Right-Handed,Nov 8 1975,"Roznov Pod Radhostem, Czech Republic",220135.0,Alena Vaskova,115.0,2000-12-04 00:00:00,2006-05-08,CZE
,-,-,Dec 7 1981,"Minsk, Belarus",100112.0,Alena Yaryshka,419.0,2000-12-04 00:00:00,2003-12-22,BLR
"5' 7""",1.7m,Right-Handed,Nov 24 1990,"Geelong, Australia",314329.0,Alenka Hubacek,464.0,2006-12-04 00:00:00,2012-08-06,AUS
"5' 6""",1.68m,Right-Handed,Sep 05 2004,"Calama, Chile",329991.0,Alessandra Caceres,1338.0,2023-08-21 00:00:00,2023-08-21,CHI
,-,Right-Handed,Sep 22 1989,"Livorno, Italy",312674.0,Alessandra Di Batte,784.0,2005-11-28 00:00:00,2006-12-18,ITA
,-,-,Nov 19 1988,"Brescia, Italy",312096.0,Alessandra Ferrazzi,964.0,2005-12-05 00:00:00,2006-12-18,ITA
,-,-,Dec 13 1999,"Riccione, Italy",327048.0,Alessandra Mazzola,717.0,2022-10-24 00:00:00,2025-08-18,ITA
,-,Right-Handed,Sep 29 2003,"Foggia, Italy",329309.0,Alessandra Simone,1249.0,2019-11-25 00:00:00,2021-03-08,ITA
,-,Right-Handed,May 06 1989,"San Vito al Tagliamento, Italy",314223.0,Alessia Bertoia,929.0,2006-12-04 00:00:00,2011-02-21,ITA
,-,-,Sep 22 1992,"Pescara, Italy",317219.0,Alessia Camplone,931.0,2013-10-07 00:00:00,2013-10-07,ITA
,-,Right-Handed,Jan 19 2005,"Moscow, Russia",332575.0,Alevtina Ibragimova,276.0,2023-08-21 00:00:00,2025-08-18,RUS
,-,-,Dec 28 1984,"Fountain Valley, CA, USA",130709.0,Alex Mcgoodwin,812.0,2001-12-10 00:00:00,2003-07-21,USA
"6' 0""",1.83m,Right-Handed,Sep 10 1989,"Newport Beach, CA, USA",312214.0,Alexa Glatch,102.0,2004-07-05 00:00:00,2023-08-21,USA
"5' 9""",1.75m,Right-Handed,Jul 7 1998,"Garden City, NY, USA",321145.0,Alexa Graham,408.0,2015-09-14 00:00:00,2022-11-14,USA
"5' 9""",1.74m,Right-Handed,Nov 17 1990,"Fort Walton Beach, FL, USA",313841.0,Alexa Guarachi,347.0,2006-12-04 00:00:00,2021-03-29,CHI
"5' 6""",1.68m,Right-Handed,Sep 6 2002,"Scottsdale, AZ, USA",327245.0,Alexa Noel,738.0,2019-09-16 00:00:00,2025-08-18,USA
,-,-,Oct 1 1996,,320442.0,Alexa Pirok,988.0,2018-03-19 00:00:00,2019-09-16,HUN
,,Right-Handed,Aug 11 1993,"Atlanta, GA, USA",328223.0,Alexa Pitt,1073.0,2019-09-16 00:00:00,2021-03-08,USA
,,Right-Handed,Sep 8 2001,"Calabasas, CA, USA",326035.0,Alexa Ryngler,759.0,2018-03-19 00:00:00,2018-03-19,USA
,-,-,Feb 23 1992,"Johns Creek, GA, USA",314120.0,Alexandra Anghelescu,983.0,2008-11-03 00:00:00,2008-11-03,USA
,,,Jul 31 2001,"Lappeenranta, Finland",326032.0,Alexandra Anttila,1273.0,2019-11-25 00:00:00,2021-03-08,FIN
,-,-,Nov 20 1992,"Saint-Petersburg, Russia",316000.0,Alexandra Artamonova,319.0,2011-01-17 00:00:00,2014-11-03,RUS
,-,Right-Handed,Feb 15 1999,"Sydney, Australia",322704.0,Alexandra Bozovic,283.0,2018-02-19 00:00:00,2025-08-18,AUS
"5' 7""",1.70m,Right-Handed,May 3 1990,"Bucharest, Romania",313215.0,Alexandra Cadantu-Ignatik,59.0,2005-12-05 00:00:00,2024-07-15,ROU
"5' 5""",1.65m,Right-Handed,Nov 30 1991,"Seminole, FL, USA",314950.0,Alexandra Cercone,929.0,2011-02-21 00:00:00,2014-11-03,USA
"5' 7""",1.71m,Right-Handed,Feb 14 1991,"Bucharest, Romania",313553.0,Alexandra Damaschin,543.0,2006-12-04 00:00:00,2021-03-08,ROU
,-,-,,,312138.0,Alexandra Del Rey Guardiola,919.0,2005-08-22 00:00:00,2006-12-18,ESP
,-,-,Sep 28 1999,"Stupino, Russia",324550.0,Alexandra Dubrovina,1118.0,2016-02-22 00:00:00,2016-02-22,RUS
"5' 8""",1.72m,Right-Handed,May 30 1989,"Bucharest, Romania",312712.0,Alexandra Dulgheru,26.0,2005-08-22 00:00:00,2022-05-09,ROU
5' 9'',1.75m,Left-Handed,May 23 2005,"Quezon City, Philippines",330332.0,Alexandra Eala,143.0,2021-03-08 00:00:00,2025-08-18,PHI
5'9 1/4'',1.76m,Right-Handed,Nov 22 1973,"St. Cloud, France",60127.0,Alexandra Fusai,133.0,2000-12-04 00:00:00,2003-08-04,FRA
,-,Right-Handed,Oct 22 1995,"Almaty, Kazakhstan",317989.0,Alexandra Grinchishina,603.0,2013-09-09 00:00:00,2017-04-10,KAZ
,-,-,Jul 2 1985,"Atlanta, Georgia",80434.0,Alexandra Hirsch,1197.0,2000-12-04 00:00:00,2000-12-25,USA
,-,-,Jan 30 1987,"Bucharest, Romania",311729.0,Alexandra Iacob,936.0,2005-08-22 00:00:00,2005-12-05,ROU
,-,-,Jun 19 2003,"Slobozia, Romania",328722.0,Alexandra Iordache,816.0,2023-08-21 00:00:00,2025-08-18,ROU
,-,-,Oct 5 1987,"Saint-Petersburg, Russia",311360.0,Alexandra Karavaeva,727.0,2005-12-05 00:00:00,2006-12-18,RUS
,-,-,,,312540.0,Alexandra Kiesl,1177.0,2005-12-05 00:00:00,2006-12-18,GER
,-,-,Dec 14 1992,"Tashkent, Uzbekistan",315628.0,Alexandra Kolesnichenko,590.0,2008-10-27 00:00:00,2010-04-05,UZB
,-,-,Apr 7 1986,"Moscow, Russia",310415.0,Alexandra Korotkevich,744.0,2001-12-10 00:00:00,2003-07-21,RUS
,-,-,Nov 29 1982,,310250.0,Alexandra Mayrat,950.0,2005-12-05 00:00:00,2005-12-05,FRA
"5' 8""",1.72m,-,Apr 3 2001,"Burlington, Canada",327557.0,Alexandra Mikhailuk,1057.0,2019-09-16 00:00:00,2021-03-08,CAN
,-,-,Nov 17 1992,",Ann Arbor, MI, USA",314906.0,Alexandra Moreno-Kaste,781.0,2008-11-03 00:00:00,2011-02-21,COL
,,,Feb 24 1995,"Kyiv, Ukraine",321178.0,Alexandra Morozova,559.0,2014-11-03 00:00:00,2018-03-19,USA
"6' 2""",1.88m,Right-Handed,Feb 14 1988,"Abington, PA, USA",310808.0,Alexandra Mueller,289.0,2003-07-21 00:00:00,2018-03-19,USA
"5' 5""",1.65m,Right-Handed,Sep 1 1993,"Canberra, Australia",317047.0,Alexandra Nancarrow,385.0,2012-08-06 00:00:00,2016-07-18,AUS
"5' 8""",1.72m,-,Sep 5 1989,"Toronto, Canada",313486.0,Alexandra Odell-Michels,1224.0,2006-12-04 00:00:00,2006-12-18,CAN
,-,-,Feb 16 1986,,150189.0,Alexandra Orasanu,577.0,2000-12-04 00:00:00,2006-06-05,ROU
"5' 9""",1.75m,-,Apr 8 1995,"Sydney, Australia",320585.0,Alexandra Osborne,636.0,2019-09-16 00:00:00,2025-08-18,AUS
"5' 10""",1.79m,Right-Handed,Mar 2 1989,"Krasnodar, Russia",311956.0,Alexandra Panova,71.0,2005-08-22 00:00:00,2021-03-29,RUS
,-,-,Jul 29 1991,"Chisinau, Moldova",318641.0,Alexandra Perper,407.0,2016-01-25 00:00:00,2021-03-29,MDA
,-,-,Sep 2 1985,"Moscow, Russia",160513.0,Alexandra Podkolzina,386.0,2003-03-24 00:00:00,2009-05-18,USA
,-,-,Sep 2 1988,"Amsterdam, Netherlands",313352.0,Alexandra Poorta,1414.0,2006-12-04 00:00:00,2006-12-04,NED
,-,-,Sep 29 1983,"Glenview, IL, USA",160461.0,Alexandra Popa,774.0,2000-12-04 00:00:00,2006-12-18,ROU
,-,-,May 07 1989,"Tver, Russia",314543.0,Alexandra Razumova,910.0,2006-12-04 00:00:00,2008-11-03,RUS
,-,-,,,310489.0,Alexandra Recio,821.0,2004-10-18 00:00:00,2005-12-05,ESP
,-,-,Apr 13 1991,"Philadelphia, PA, USA",315051.0,Alexandra Riley,764.0,2008-11-03 00:00:00,2023-08-21,USA
,-,-,Apr 30 1993,"Moscow, Russia",315719.0,Alexandra Romanova,369.0,2011-02-21 00:00:00,2013-10-07,RUS
,-,Right-Handed,Jan 5 1999,"Columbus, OH, USA",322467.0,Alexandra Sanford,527.0,2016-02-22 00:00:00,2017-04-10,USA
,-,Roght-Handed,Sep 6 2005,"Rostov-on-Don, Russia",332168.0,Alexandra Shubladze,315.0,2023-08-21 00:00:00,2025-08-18,RUS
,-,-,Mar 16 1994,"Madrid, Spain",317628.0,Alexandra Starkova,1066.0,2011-12-19 00:00:00,2011-12-19,ESP
6' 1'',1.85,Right-Handed,Dec 15 1980,"La Jolla, CA, USA",190125.0,Alexandra Stevenson,18.0,2000-12-04 00:00:00,2018-10-15,USA
,,,Jun 1 2001,,325321.0,Alexandra Vagramov,913.0,2019-09-16 00:00:00,2025-08-18,CAN
,-,Right-Handed,May 26 1996,"New Westminster, Canada",321863.0,Alexandra Valenstein,1246.0,2016-02-22 00:00:00,2016-02-22,USA
"5' 9""",1.75m,Right-Handed,Jan 7 2002,"Singen, Germany",325700.0,Alexandra Vecic,386.0,2019-11-25 00:00:00,2025-08-18,GER
"5'9""",1.75m,Right-Handed,Oct 13 2000,"Jonkoping, Sweden",324619.0,Alexandra Viktorovitch,1000.0,2019-09-16 00:00:00,2021-03-08,SWE
,-,Left-Handed,Sep 21 1992,,315941.0,Alexandra Walker,970.0,2011-02-21 00:00:00,2012-08-06,GBR
"5' 6""",1.68m,-,Jul 14 1992,"Adelaide, Australia",315943.0,Alexandra Walters,894.0,2016-02-22 00:00:00,2018-03-19,AUS
"6' 0""",1.83m,Right-Handed,Jan 1 2003,"Hollywood, FL, USA",327832.0,Alexandra Yepifanova,1087.0,2021-03-08 00:00:00,2021-03-08,USA
,-,-,Apr 4 1984,"Moscow, Russia",260137.0,Alexandra Zerkalova,945.0,2000-12-04 00:00:00,2001-09-03,RUS
,-,-,Jan 01 1983,"Bucharest, Romania",260138.0,Alexandra Zotta,1130.0,2000-12-04 00:00:00,2001-12-10,ROM
"5' 5""",1.65m,-,Mar 10 1986,"Largo, FL, USA",120429.0,Alexandria Liles,685.0,2001-09-03 00:00:00,2002-09-30,USA
"5' 4""",1.63m,Left-Handed,May 11 1996,"Bradenton, FL, USA",322734.0,Alexandria Stiteler,798.0,2014-11-03 00:00:00,2014-11-03,USA
