id,question_type,question_corps,qcm_a,qcm_b,qcm_c,qcm_d,qcm_answer,answer,true_false,difficulty,open_player,true_false_additional,tags
000999,tf,"Simona Halep played a final in every Grand Slam.",,,,,,,False,2,,"Her best result at the Us Open is a SF","Romania, Simona Halep,Grand Slam"
000998,open,"Which player often accused of fiscal fraud fled to Argentina after her carreer?",,,,,,Camila Giorgi,,2,True,,"Italy,Argentina,WTA"
000334,open,"Who stunned Novak Djokovic in the second round of the 2017 Australian Open?",,,,,,Denis Istomin,,2,True,,"ATP,Australian Open,2017,second round,Denis Istomin,upset"
000335,open,"Which unseeded Italian beat Novak Djokovic in the quarter-finals of Roland-Garros 2018?",,,,,,Marco Cecchinato,,2,True,,"ATP,Roland-Garros,2018,quarter-final,Cecchinato,Italy"
000336,open,"Which Czech player defeated Rafael Nadal in the second round of Wimbledon 2012?",,,,,,Lukáš Rosol,,3,True,,"ATP,Wimbledon,2012,second round,Rosol,Nadal,upset"
000337,open,"Which Ukrainian player eliminated Roger Federer in the second round of Wimbledon 2013?",,,,,,Sergiy Stakhovsky,,2,True,,"ATP,Wimbledon,2013,second round,Stakhovsky,Federer,upset" 
000338,open,"Which Polish player reached the men Wimbledon semi-finals in 2013?",,,,,,Jerzy Janowicz,,3,True,,"ATP,Wimbledon,2013,semi-final,Janowicz,Poland"
000340,open,"Which qualifier reached the US Open quarter-finals in 2017, defeating Daria Kasatkina in R4?",,,,,,Kaia Kanepi,,3,True,,"WTA,US Open,2017,quarter-final,qualifier,Kaia Kanepi"
000341,open,"Which russian wild card lost to Anastasija Sevastova in R4 US Open 2017?",,,,,,Maria Sharapova,,3,True,,"US Open,WTA"
000342,open,"What was the last name of both finalists of the 2017 Hambourg Open?",,,,,,Mayer,,4,True,,"Clay,ATP500,name,ATP"
000343,open,"Who defeated Roger Federer in R16 at the 2018 US Open?",,,,,,John Millman,,3,True,,"Grand Slam, ATP, US Open,Big Three, Roger Federer"
000344,qcm,"Who bageled Rafael Nadal and still lost at the US Open 2018",Dominic Thiem, Marin Cilic,Borna Coric,Nikokoz Basilashvili,a,,,3,,,"Grand Slam, ATP, US Open,Big Three, Rafaael Nadal"
000345,qcm,"Which shot was Anastasiya Sevasetova famous for?",dropshot,volley,serve,down-the-line backhand,a,,,2,,,"Anastasia Sevastova,Latvia,WTA,play"
000346,open,"What was Daria Saville's maiden name?",,,,,,Gavrilova,,2,False,,"Australia, WTA, Russia, Daria Saville"
000346,open,"What was Margarita Betova's maiden name?",,,,,,Gasparyan,,3,False,,"Russia, WTA, Margarita Gasparyan"
000347,open,"Which spanish player defeated the twice finalist Dominic Thiem at RG 2021 ?",,,,,,Pablo Andujar,,3,True,,"Spain, Roland Garros, Grand Slam,ATP, Dominic Thiem, clay"
000348,open,"Which bulgarian player used a proteged ranking and reached US Open 2019 QF (WTA)?",,,,,,Tsvetana Pironkova,,4,True,,"Bulgaria, US Open,Grand Slam, WTA"
000349,open,"Against which player did Djokovic not lose a set on his road to the 2021 US Open final?",,,,,,Tallon Griekspoor,,3,True,,"Novak Djokovic, Balkans, Big Three US Open,Grand Slam, ATP"
000350,open,"Which dutch player won Rosmalen Open being ranked 205 and reached Wimbledon R16 before forever disappearing ?",,,,,,Tim Van Rijthoven,,4,True,,"Netherlands, Tim Van Rijthoven,ATP, grass"
000351,open,"Which wta player won two Grand Slams in Double but not any single title despite reaching rank 8 in the world ?",,,,,,Anna Kournikova,,2,True,,"Russia,Anna Kournikova,double,WTA"
000352,open,"Who is the best ever indian WTA player?",,,,,,Sania mirza,,2,True,,"India, WTA"
000353,qcm,"Which Makarova do not exist?","Ekaterina makarova","Mariia Makarova","Svetlana Makarova","Christina Makarova",c,,,3,,,"USA, Russia, WTA"
000354,open,"Who did Richard Gasquet won his only Grand Slam title with?",,,,,,Tatiana Golovin,,3,True,,"France, WTA, ATP,Grand Slam"
000355,qcm,"Which of these players is not australian",Arina Rodionova, Daria Gavrilova, Daria Kasatkina, Anastasia Potapova,d,,,2,,,"WTA,Russia, Australia"
000356,open,"Who did Berdych get double bageled against in Rome 2016?",,,,,,David Goffin,,2,True,,"ATP, Masters1000, Czech Republic"
000357,tf,"Denis Shapovalov is older than Felix Auger-Aliassime.",,,,,,,True,2,,"","Canada, ATP"
000358,qcm,"Against which of these players Serena Williams did not miss an occasion to win a 24th Grand Slam",Naomi Osaka, Emma Raducanu,Bianca Andreescu,Simona Halep,b,,,2,,,"WTA, USA, Grand Slam, Serena Williams"
000359,open,"Which WTA champion was stabbed ont the court in Germany?",,,,,,Monica Seles,,1,True,,"WTA, Monica Seles,Germany"
000360,open,"The tour called her 'Jelena', but what is the real first name of Ostapenko?",,,,,,Alona,,4,False,,"WTA, Latvia"
000361,tf,"Stanislas Wawrinka never reached Wimbledon SF.",,,,,,,True,2,,"Best result is a QF (2014 and 2015)","Switzerland, Grand Slam, ATP, Stanislas Wawrinka"
000362,open,"Who is the only player who defeated Novak Djokovic, Rafael Nadal and Roger Federer in one tournament?",,,,,,Nikolay Davydenko,,2,True,,"Russia, ATP, Big Three"
000363,open,"Who did Bernard Tomic lose the shortest ATP match?",,,,,,Jarkko Nieminen,,2,True,,"Australia, ATP"
000364,open,"Who is the best ever thaï ATP player?",,,,,,Paradorn Srichaphan,,3,True,,"Asia, Thailand, ATP"
000365,open,Who is the only ATP player ranked n°1 without any Grand Slam title?,,,,,,Marcelo Rios,,2,False,,"ATP,Grand Slam"
000366,qcm,Which of these players did not win any Grand Slam?,Richard Gasquet, Marin Cilic, Fabrice Santoro,Tomas Berdych,d,,,3,,,"ATP, Grand Slam"
000367,qcm,Which of these players did not win any Grand Slam?,Daniela Hantuchova,Anna Kournikova,Vera Zvonareva,Maria Kirilenko,d,,,3,,,"WTA,Grand Slam"
000368,qcm,Which of these shots was Milos Raonic primarly known for?,Cross-court forehand,Dropshot,Serve,Volley,c,,,1,,,"ATP, Canada, Milos Raonic"
000369,qcm,Who did Halep not lose a Grand Slam final against,Caroline Wozniacki,Maria Sharapova,Sloane Stephens,Jelena Ostapenko,c,,,2,,,"WTA, Grand Slam, Simona Halep, Romania"
000370,open,What country was Milos Raonic born in?,,,,,,Monténégro,,4,False,,"ATP, Milos Raonic,birthplace"
000371,open,Which city of southern Russia famously hosts a major tennis academy?,,,,,,Sochi,,4,False,,"ATP,WTA,Russia"
000372,open,Which country was Garbine Muguruza born in?,,,,,,Venezuela,,4,False,,"WTA,Garbine Muguruza,birthplace"
000373,open,Which british player reached men Australian Open SF in 2018?,,,,,,Kyle Edmund,,3,True,,"ATP,Grand Slam, Australian Open,UnitedKingdom"
000374,open,How is Djokovic's worst shot ironically called when he misses it?,,,,,,Djokosmash,,2,False,,"ATP, Serbia, Novak Djokovic"
000375,qcm,Which of these player does not have a one-handed backhand?,Samatha Stosur,Diane Parry,Naomi Broady,Carla Suarez Navarro,a,,,3,,,"WTA,play"
000376,open,Which city are the Wimbledon qualifications played in?,,,,,,Roehampton,,4,False,,"ATP, WTA, Grand Slam, Wimbledon, Grass"
000377,open,"According to Casper Ruud, which sport should grass be only use for?",,,,,,Golf,,3,False,,"ATP, Casper Ruud, Norway"
000378,open,Which former top-10 player retired because of heart issues?,,,,,,Mardy Fish,,3,True,,"ATP,USA"
000379,open,former top-10 player retired because of mononucleosis?,,,,,,Robin Soderling,,2,True,,"ATP,Sweden"
000380,open,Who ended his carreer with a 6-2 6-2 victory in final on clay against David Ferrer?,,,,,,Robin Soderling,,4,Tre,,"ATP Sweden"
000381,open,"In 2025, which major tournament changed its location (name the city)?",,,,,,Paris,,2,False,,"ATP, Masters1000, France"
000382,open,"Which arena did Paris Master 1000 left in 2025? (5 letter name),,,,,,Bercy,,4,False,,"ATP, Masters1000, France"
000383,open,"Before playing in the Hard-Rock Stadium, where did the Miami Open take place?",,,,,,Key Biscayne,,4,False,,"ATP, WTA, Masters1000,USA,SunshineDouble,Miami"
000384,open,Which player was in the final in Miami's brand new arena in 2019 against Roger Federer?,,,,,,John Isner,,3,True,,"ATP,Masters1000,USA,SunshineDouble,Miami"
000385,qcm,Which of these 2021 WTA Tour tournaments does not exist?,Melbourne - Yarra Valley Classic,Melbourne - Phillip Island Trophy, Melbourne - Gippsland Trophy,Melbourne - Dandenong Ranges Open,d,,,3,,,"WTA, Australia"
000386,open,Who did Anastaia Myskina win her only Grand Slam title against?,,,,,,Elena Dementieva,,4,True,,"WTA, Grand Slam, Russia"
000387,open,Which family from Zimbabwe got 2 brothers and their sister playing in the top 50?,,,,,,Black,,4,False,,"WTA, ATP, Zimbabwe,Africa"
000388,open,Which indian double specialist go a 29 year long carreer?,,,,,,Leander Paes,,3,True,,"ATP, double,India"
000399,open,What is the name of the small ski resort Novak Djokovic spent his childhood?,,,,,,Kopaonik,,4,False,,"ATP, Novak Djokovic, Serbia, Balkans"
000400,qcm, Who was Novak Djokovic's first ever tennis coach?,Jelena Gencic,Nikola Pilic,Anna Garlic,Olga Stevic,a,,,3,,,"ATP, Novak Djokovic, Serbia, Balkans"
000401,qcm,Which of these coaches has never coached Emma Raducanu?,Vlado Platenic,Francisco Roig,Dmitry Tursunov,Sascha Bajin,d,,,3,,,"WTA, UK, Emma Raducanu"
000402,qcm, Which of these coaches has never coached Diana Shnaider?,Carlos Martinez,Igor Andreev,Dinara Safina,Svetlana Kuznetsova,d,,,3,,,"WTA, Russia, Diana Shnaider"
000403,open,Who holds the record for most consecutive Davis Cup wins? (Hint: not world stage),,,,,,Marcos Baghdatis,,3,True,,"ATP, Cyprus, Davis Cup"
000404,qcm,Which of these players is not known for his powerful forehand?,Jérémy Chardy,Fernando Verdasco,Laslo Djere,James Blake,c,,,2,,,"ATP,play"
000405,qcm,Which shot may be considered as Simona Halep's signature shot?,Down-the-line backhand,Forehand dropshot,Powerful inside-out forehand,Jumped cross-court backhand,a,,,2,,,"WTA,play,Simona Halep"
000406,qcm,Which of these brands has never sponsored Novak Djokovic?,Sergio Tacchini,Uniqlo,Nike,Addidas,c,,,2,,,"ATP,Novak Djokovic"
000407,open,"Who did Viktoria Azarenka win Olympic Gold Medal with, during 2012 London edition?",,,,,,Max Mirniy,,4,True,,"ATP, WTA, Olympic Games, Belarus"
000408,qcm,"Which team won the Olympic Gold Medal in Paris 2024?,Mirra Andreeva & Diana Shnaider, Jasmine Paolini & Sara Errani,Karolina Muchova & Linda Noskova,Barbora Krejcikova & Katerina Siniakova,b,,,2,,,"WTA, Olympic Games"
000409,open,"In Tokyo 2020, Novak Djokovic played the mixed double draw: who was it with?",,,,,,Nina Stojanovic,,4,True,,"ATP, WTA, Olympic Games"
000410,qcm,"Which of these player never played the Hopman Cup?",Roger Federer,Andy Murray,Rafael Nadal,Novak Djokovic,c,,,2,,,"ATP, WTA, Hopman Cup,mixed doubles"
000411,tf,Novak Djokovic won the longest Grand Slam final ever played.,,,,,,,True,1,,"Against Nadal, Australian Open 2012","Serbia, Grand Slam, ATP, Novak Djokovic"
000412,open,Which young russian-born french player won the junior girl Australian Open 2026?,,,,,,Ksenia Efremova,,3,True,,"WTA,Junior,France, Russia"
000413,qcm,Which of these players does not exist?,Lenin Cardenas,Armando Castro,Philipp Marx,Wu Zedong,d,,,3,,,"ATP"
000414,qcm,Which of these Djokovic family members has never been a professional tennis player?,Novak Djokovic,Djordje Djokovic,Marko Djokovic,Srdjan Djokovic,d,,,1,,,"ATP, Novak Djokovic, Serbia"
000415,open,What is Colin Sinclair sportive nationality? (Hint: not an independant state),,,,,,Northern Mariana Islands,,4,False,,"ATP,USA"
000416,open,"The US Clay court championship has been played in different cities including Indianapolis or Houston, where did it take place between 1997 and 2000?",,,,,,Orlando,,4,False,,"ATP, USA,clay"
000417,tf,"The US clay courts are often green, unlike traditional red clay.",,,,,,,True,1,,"Generally considered slightly faster and slippery, it is not made out of bricks but uses metabasalt instead.","ATP, USA,clay"
000418,open,Which city hosts a WTA500 tournament played on green clay?,,,,,,Charleston,,2,False,,"WTA, USA, clay"
000419,qcm,Select the correct spelling :,S'Hertogenbosch,S'Hertogenbosh,S'Hertogembosch,S'Hertogembosh,a,,,2,,,"ATP, WTA, grass"
000420,open,In which city did Olga Danilovic win her first tournament at the age of 18?,,,,,,Moscow,,3,False,,"WTA, clay, serbia"
000421,qcm,Why were some matches of the 2020 Australian Open delayed?,Massive rainfalls during two days,Quaranteened players after a Covid-19 Case in their plane,Bushfires and air pollution,Important protest of AO employees claiming for a wage raise,c,,,2,,,"ATP, WTA, Australia, Australian Open, Grand Slam"
000422,qcm,Which of these croatian cities did not host any ATP tournament? (post 1996),Split,Umag,Dubrovnik,Zagreb,c,,,1,,,"ATP, clay, Croatia, Balkans"
000423,qcm,Where is the Rogers Cup played ?,Toronto, Montreal,Toronto or Montreal, Toronto and Montreal,d,,,1,,,"ATP, WTA, Canada, Master 1000"
000424,open,Which city hosted the last WTA event played on carpet in 2018?,,,,,,Quebec,,4,False,,"WTA,carpet"
