id,question_type,question_corps,qcm_a,qcm_b,qcm_c,qcm_d,qcm_answer,answer,true_false,difficulty,tags
000061,qcm,Which player is a left-hander ?,Guillermo Coria,Juan Manuel Cerundolo,Federico Coria,Francisco Cerundolo,b,,,1,"left-hander,Rafael Nadal,Spain"
000062,open,Which city traditionally stages the ATP tournament called the Sweden Open ?,,,,,,Båstad,,3,"Sweden,Båstad,ATP,clay"
000066,tf,Martina Navratilova won more Wimbledon singles titles than Serena Williams.,,,,,,,False,2,"Martina Navratilova,Serena Williams,Wimbledon,titles"
000068,open,Which Austrian player won the 2014 Wimbledon men's doubles title alongside Julian Knowle ?,,,,,,Alexander Peya,,4,"Austria,Wimbledon,doubles,Alexander Peya"
000070,qcm,Which of these players has a two-handed backhand ?,John McEnroe,Ricardo Mello,Michael Chang,Stefan Edberg,c,,,1,"ATP,two-handed backhand"
000075,tf,The ATP Cup is a national team event introduced in 2019.,,,,,,,False,2,"ATP Cup,national teams"
000076,qcm,Which of these tournaments is hosted in Canada on the ATP Tour ?,Rogers Cup,Nordic Open,Canadian Classic,Montreal Open,a,,,1,"Canada,Rogers Cup,Montreal/Toronto,Masters1000"
000077,open,Which small Spanish island city is Rafael Nadal's hometown ?,,,,,,Manacor,,1,"Spain,Majorca,Rafael Nadal,Manacor, ATP"
000080,open,Which country does Johanna Garland come from ?,,,,,,Taïwan,,2,"Taïwan, South east Asia, WTA"
000085,qcm,Which of these players has won an Olympic singles gold medal ?,Andy Murray,James Blake,Marat Safin,Juan Martín del Potro,a,,,2,"Olympics,Andy Murray,gold"
000087,tf,The trophy at Wimbledon features a silver gilt cup for the men's singles champion.,,,,,,,True,3,"Wimbledon,trophy"
000092,open,Which Czech player partnered Barbora Strýcová to win multiple Grand Slam mixed doubles titles ?,,,,,,Lucie Hradecká,,4,"Czech Republic,mixed doubles,Lucie Hradecká,Barbora Strýcová"
000093,tf,The Antalya Open is a clay-court tournament in Turkey.,,,,,,,False,2,"Antalya,Turkey,grass,ATP"
000094,qcm,Which tournament is played at Flushing Meadows ?,US Open,Australian Open,French Open,Wimbledon,a,,,1,"US Open,Flushing Meadows,New York,Grand Slam"
000097,qcm,Which of these players comes from Russia ?,Daria Kasatkina,Vera Lapko,Katie Volynets,Sofia Kenin,a,,,2,"Russia,Daria Kasatkina,WTA"
000098,open,Which country hosts the tournament in Umag on the ATP Tour ?,,,,,,Croatia,,2,"Umag,Croatia,ATP,clay"
000100,qcm,Which of these events is a WTA 125 tournament example ?,Florianopolis Open,Iasi Open,Eastbourne Open,Monterrey Open,a,,,3,"WTA, WTA125"
000102,tf,Nick Kyrgios has defeated Rafael Nadal at Wimbledon.,,,,,,,True,1,"Nick Kyrgios,Wimbledon,defeated Nadal"
000103,qcm,Which tournament is held in Doha on the ATP calendar ?,Qatar Open,Doha Classic,Desert Open,Arabian Championship,a,,,2,"Doha,Qatar,ATP,hard"
000104,open,Which Japanese player reached the 2014 US Open men's singles final ?,,,,,,Kei Nishikori,,3,"Japan,Kei Nishikori,Grand Slam"
000107,open,Which Eastern European country is the birthplace of Ilie Năstase ?,,,,,,Romania,,2,"Romania,Ilie Năstase,birthplace"
000108,tf,The Davis Cup was first contested in 1900.,,,,,,,True,4,"Davis Cup,history,1900"
000110,open,Which South African player famously had a powerful serve and won multiple Grand Slam doubles titles in the 1990s ?,,,,,,Wayne Ferreira,,4,"South Africa,Wayne Ferreira,doubles,serve"
000111,tf,The season-ending ATP Finals were first held in New York City.,,,,,,,False,3,"ATP Finals,history,location"
000115,qcm,Which of the following players is known primarily for doubles success ?,Bob Bryan,Roger Federer,Rafael Nadal,Nick Kyrgios,a,,,2,"doubles,Bob Bryan,ATP"
000117,tf,The Queen's Club Championships has been held since the late 19th century.,,,,,,,True,2,"Queen's Club,history,Victorian era"
000122,open,Which French city hosts the Open 13 ATP tournament ?,,,,,,Marseille,,3,"France,Marseille,Open 13,ATP"
000123,tf,The 'Golden Slam' is winning all four Grand Slams plus Olympic gold in a single calendar year.,,,,,,,True,1,"Golden Slam,Olympics,Grand Slams"
000125,open,Which Croatian town is famous for producing top tennis players including Goran Ivanišević and Marin Čilić ?,,,,,,Split,,3,"Croatia,Split,Goran Ivanišević,Marin Čilić"
000126,open,Against which player did Novak Djokovic lose a match after leading 2 sets to 0 ?,,,,,,Jurgen Melzer,,2,"Novak Djokovic, Balkans,Serbia,Roland Garros,clay,Grand Slam"
000127,qcm,Which coach is best known for a long collaboration with Novak Djokovic?,Marian Vajda,Andre Agassi,Paul Annacone,Boris Becker,a,,,1,"Novak Djokovic,Marian Vajda,coach,Serbia,Big Three"
000128,qcm,Which clay color has never existed ?,Red,Blue,Green,Purple,d,,,1,"surface,ATP,WTA"
000129,open,Which chinese player defeated Ostapenko and Noskova at the 2026 Australian Open ?,Xinyu Wang,Xuo Wang, Yafan Wang,Qiang Wang,a,,,4,"Grand Slam, Australian Open,China,WTA"
000130,open,Which russian player holds a PHD in philosophy ?,,,,,,Mikhail Youzhny,,3,"Russia"
000131,open,Which russian player withdrew after hitting his head eleven times with his racket ?,,,,,,Mikhail Youzhny,,1,"Russia, ATP"
000132,open,"Which country does Potapova who was born in Russia, married a Kazakhstanese and currently engaged with a dutch plays for ?",,,,,,Austria,,2,"WTA"
000133,qcm,Which kazakhstanese player won a golden set in Wimbledon ?,Elena Rybakina, Yulia Putintseva, Yaroslava Shvedova,Zarina Diyas,c,,,2,"Grand Slam, Wimbledon, WTA, Grass, Kazakhstan"
000134,qcm,Which of these kazakhstanese players was actually born in Kazakhstan ?,Elena Rybakina, Yulia Putintseva, Yaroslava Shvedova,Zarina Diyas,d,,,2,"WTA, Kazakhstan"
000135,open,Which french player lost all of his 12 ATP finals in career ?,,,,,,Julien Benneteau,,3,"France"
000136,qcm,Which of these WTA players is known for her sliced backhand ?,Tatjana Maria,Daria Kasatkina,Julia Grabher,Taia Gibson,a,,,2,"WTA"
000137,open,What city was Simona Halep born in ?,,,,,,Constanta,,4,"Romania, city, Simona Halep,birthplace"
000138,open,What city was Maria Sharapova born in ?,,,,,,Nagan,,4,"Russia, Maria Sharapova,birthplace"
000139,tf,Aryna Sabalenka and Victoria Azarenka were born in the same city: Minsk.,,,,,,,True,2,"Belarus,birthplace"
000140,tf,Federico and Horacio Zeballos are related,,,,,,,False,1,"South America,ATP"
000141,open,What is the first name of Hugo Dellien's brother ?,,,,,,Murkel,,4,"South America, Atp"
000142,open,Which ukrainian player decided to fight against Russia in 2022 ?,,,,,,Serhiy Stakhovsky,,2,"Ukraine,ATP"
000143,open,Which estonian lucky-loser reached Roland-Garros third round in 2018 ?,,,,,,Jurgen Zopp,,4,"Estonia,Grand Slam,Roland-Garros"
000144,tf,Mischa Zverev was born in Germany from a soviet-descent family.,,,,,,,False,2,"Germany, Mischa Zverev, birthplace"
000145,tf,Elena Vesnina is a russian-born player.,,,,,,,False,2,"Russia, Elena Vesnina,birthplace"
000146,open,"Daria Kasatkina, Anastasia Pavlyuchenkova and Diana Shnaider were born in the same oblast. Which one ?",,,,,,Samara,,4,"Russia, birthplace"
000147,open,Which french player defeated Kevin Anderson in the R1 of RG 2015 ?,,,,,,Stéphane Robert,,4,"France, South Africa, Grand Slam, Roland Garros"
000148,open,Who holds the record of most titles in challenger ?,,,,,,Dudi Sela,,3,"Challenger, ATP, record"
000149,open,"During the 2017 Davis Cup final, who lost the final match ?",,,,,,Steve Darcis,,3,"Davis Cup,Belgium, France"
000150,open,Who holds the record for most aces in a two-winning sets matchs ?,,,,,,Milos Raonic,,2,"record, ATP"
000151,qcm,Which of these players won a M1000 ?,Milos Raonic,Tomas Berdych,Richard Gasquet,Kei Nishikori,b,,,2,"Master1000, ATP"
000152,open,"During the 2014 Davis Cup final, who was supposed to replace Roger Federer in case of injury ?",,,,,, Marco Chiudinelli,,4,"Switzerland, France, ATP, Davis Cup"
000153,open,"Who won the longest match in tennis history (Wimbledon 2010)?",,,,,,John Isner,,1,"record,longest match,Isner,Mahut,Wimbledon,2010"
000155,qcm,"Which player served the most aces in a single professional match?",John Isner,Ivo Karlović,Milos Raonic,Reilly Opelka,a,,,1,"record,aces,Isner,match record,Wimbledon"
000156,open,"How many games were played in the Isner–Mahut final score's fifth set (the marathon match)?",,,,,,138,,2,"record,longest set,Isner-Mahut"
000157,tf,"John Isner holds the ATP record for most career aces.",,,,,,,True,2,"record,career aces,Isner"
000158,qcm,"Who holds the Open Era record for most ATP singles titles?",Roger Federer,Rafael Nadal,Jimmy Connors,Novak Djokovic,c,,,2,"record,ATP titles,Jimmy Connors,109,Open Era"
000159,open,"Which country has won the most Davis Cup titles in history?",,,,,,United States,,2,"record,Davis Cup,USA,32 titles"
000161,qcm,"Who holds the all-time record for most Grand Slam singles titles ?",Serena Williams,Steffi Graf,Margaret Court,Martina Navratilova,c,,,1,"record,Grand Slam,Margaret Court,24"
000162,qcm,"Which man holds the all-time record for most Grand Slam singles titles (men)?",Roger Federer,Rafael Nadal,Novak Djokovic,Pete Sampras,c,,,1,"record,Grand Slam,Novak Djokovic,men"
000163,open,"Who holds the record for the most Wimbledon men's singles titles (8)?",,,,,,Roger Federer,,2,"record,Wimbledon,Federer,8"
000164,tf,"Martina Navratilova has won more Wimbledon women's singles titles than any other woman.",,,,,,,True,2,"record,Wimbledon,Navratilova,9"
000166,open,"Who is credited with the fastest recorded tennis serve (263 km/h at Busan Challenger)?",,,,,,Sam Groth,,2,"record,fastest serve,Groth,Guinness"
000303,open,"Who did Novak Djokovic defeated in the Wimbledon 2018 semi-finals?",,,,,,Kevin Anderson,,3,"Wimbledon,2018,semi-final,Novak Djokovic"
000304,qcm,"Which player defeated Roger Federer in the 2019 Wimbledon final?",Novak Djokovic,Rafael Nadal,Andy Murray,Juan Martín del Potro,a,,,2,"Wimbledon,2019,final,Federer,Djokovic"
000305,tf,"Rafael Nadal defeated Novak Djokovic in the 2014 Roland-Garros final.",,,,,,,True,3,"Roland-Garros,2014,final,Nadal,Djokovic"
000306,open,"Which player defeated Serena Williams in the 2015 US Open semi-final?",,,,,,Roberta Vinci,,3,"US Open,2015,semi-final,Serena Williams,Roberta Vinci,Upset"
000307,qcm,"Who beat Novak Djokovic in the 2016 US Open final?",Stan Wawrinka,Andy Murray,Marin Čilić,Kei Nishikori,a,,,3,"US Open,2016,final,Djokovic,Wawrinka"
000308,tf,"Angelique Kerber defeated Serena Williams on her road to win the 2016 US Open.",,,,,,,False,3,"US Open,2016,final,Kerber,Serena"
000309,open,"Which player defeated Rafael Nadal in the semi-finals of the 2008 Australian Open?",,,,,,Jo-Wilfried Tsonga,,2,"Australian Open,2008,semi-final,Djokovic,Tsonga"
000310,qcm,"Which player did Andy Murray beat to win Wimbledon 2013?",Novak Djokovic,Roger Federer,Rafael Nadal,Stan Wawrinka,a,,,3,"Wimbledon,2013,final,Andy Murray,Novak Djokovic"
000311,tf,"Marin Čilić defeated Novak Djokovic to win the 2014 US Open.",,,,,,,False,3,"US Open,2014,final,Marin Čilić,Djokovic"
000312,open,"Which player defeated Novak Djokovic in the semi-finals of Wimbledon 2011?",,,,,,Roger Federer,,3,"Wimbledon,2011,semi-final,Rafael Nadal,Novak Djokovic"
000313,qcm,"Who did Simona Halep beat in the final to win Roland-Garros 2017?",Caroline Wozniacki,Jelena Ostapenko,Garbiñe Muguruza,Sloane Stephens,b,,,3,"Roland-Garros,2017,final,Halep,Ostapenko"
000314,tf,"Naomi Osaka defeated Serena Williams in the 2018 US Open final.",,,,,,,True,3,"US Open,2018,final,Naomi Osaka,Serena Williams"
000999,tf,"Simona Halep played a final in every Grand Slam.",,,,,,,False,2,"Romania, Simona Halep,Grand Slam"
000998,open,"Which player often accused of fiscal fraud fled to Argentina after her carreer?",,,,,,Camila Giorgi,,2,"Italy,Argentina,WTA"
000334,open,"Who stunned Novak Djokovic in the second round of the 2017 Australian Open?",,,,,,Denis Istomin,,2,"ATP,Australian Open,2017,second round,Denis Istomin,upset"
000335,open,"Which unseeded Italian beat Novak Djokovic in the quarter-finals of Roland-Garros 2018?",,,,,,Marco Cecchinato,,2,"ATP,Roland-Garros,2018,quarter-final,Cecchinato,Italy"
000336,open,"Which Czech player defeated Rafael Nadal in the second round of Wimbledon 2012?",,,,,,Lukáš Rosol,,3,"ATP,Wimbledon,2012,second round,Rosol,Nadal,upset"
000337,open,"Which Ukrainian player eliminated Roger Federer in the second round of Wimbledon 2013?",,,,,,Sergiy Stakhovsky,,2,"ATP,Wimbledon,2013,second round,Stakhovsky,Federer,upset" 
000338,open,"Which Polish player reached the Wimbledon semi-finals in 2013?",,,,,,Jerzy Janowicz,,3,"ATP,Wimbledon,2013,semi-final,Janowicz,Poland"
000340,open,"Which qualifier reached the US Open quarter-finals in 2017, defeating Daria Kasatkina in R4?",,,,,,Kaia Kanepi,,3,"WTA,US Open,2017,quarter-final,qualifier,Kaia Kanepi"
000341,open,"Which russian wild card lost to Anastasija Sevastova in R4 US Open 2017?",,,,,,Maria Sharapova,,3,"US Open,WTA"
000342,open,"What was the last name of both finalists of the 2017 Hambourg Open?",,,,,,Mayer,,4,"Clay,ATP500,name,ATP"
000343,open,"Who defeated Roger Federer in HF at the 2018 US Open?",,,,,,John Millman,,3,"Grand Slam, ATP, US Open,Big Three, Roger Federer"
000344,qcm,"Who bageled Rafael Nadal and still lost at the US Open 2018",Dominic Thiem, Marin Cilic,Borna Coric,Nikokoz Basilashvili,a,,,3,"Grand Slam, ATP, US Open,Big Three, Rafaael Nadal"
000345,qcm,"Which shot was Anastasiya Sevasetova famous for?",dropshot,volley,serve,down-the-line backhand,a,,,2,"Anastasia Sevastova,Latvia,WTA,play"
000346,open,"What was Daria Saville's maiden name?",,,,,,Gavrilova,,2,"Australia, Russia, Daria Saville"
000346,open,"What was Margarita Betova's maiden name?",,,,,,Gasparyan,,3,"Russia, Margarita Gasparyan"
000347,open,"Which spanish player defeated the twice finalist Dominic Thiem at RG 2021 ?",,,,,,Pablo Andujar,,3,"Spain, Roland Garros, Grand Slam,ATP, Dominic Thiem, clay"
000348,open,"Which bulgarian player used a proteged ranking and reached US Open 2019 QF ?",,,,,,Tsvetana Pironkova,,4,"Bulgaria, US Open,Grand Slam, WTA"
000349,open,"Against which player did Djokovic not lose a set on his road to the 2021 US Open final?",,,,,,Tallon Griekspoor,,3,"Novak Djokovic, Balkans, Big Three US Open,Grand Slam, ATP"
000350,open,"Which dutch player won Rosmalen Open being ranked 205 and reached Wimbledon HF before forever disappearing ?",,,,,,Tim Van Rijthoven,,4,"Netherlands, Tim Van Rijthoven,ATP, grass"
000351,open,"Which wta player won two Grand Slams in Double but not any single title despite reaching rank 8 in the world ?",,,,,,Anna Kournikova,,2,"Russia,Anna Kournikova,double,WTA"
